; ： ；
;a ！
hllk 皇陵
hlll 荒凉
hllm 黄连
hllq 灰溜溜
hllr 慌乱
hlls 轰隆隆
hlly 遑论
hlm 红楼梦
hlmc 黄毛
hlmg 红楼梦
hlmh 慌忙
hlmm 黄粱美梦
hlmo 荒漠
hlmq 荒谬
hlmw 黄梅
hln 媓
hlnm 荒年
hlnn 火烈鸟
hlnq 黄牛
hlnw 媓
hlo 晃
hlow 晃
hlp 黄脸婆
hlpc 黄袍
hlpd 黄牌
hlpi 荒僻
hlpo 黄脸婆
hlpq 虎落平阳被犬欺
hlpu 黄埔
hlpy 虎落平阳
hlq 皇权
hlqb 皇亲
hlqk 火力全开
hlqq 荒丘
hlqr 黄泉
hlqt 黄雀
hlr 恍然
hlrj 恍然
hlro 恍若
hlru 恍如
hls 黄色
hlse 黄色
hlsu 活力四射
hlt 昏了头
hlth 荒唐
hltl 后浪推前浪
hltm 皇天
hlts 黄铜
hltu 黄土
hltz 囫囵吞枣
hlu 磺
hlua 黄沙
hlub 磺
hluf 慌神
hluh 皇上
hlui 皇室
hluj 黄山 花落谁家
hlut 好了伤疤忘了疼
hluv 花露水
hluw 寒来暑往
hlv 簧
hlv/ 艎
hlvb 簧
hlvh 慌张
hlvi 荒置
hlvu 虎狼之师
hlvw 篁
hlw 好莱坞
hlw/ 瑝
hlwb 璜
hlwh 互联网
hlwo 肓
hlwu 荒芜
hlwv 化零为整
hlww 皇位
hlx 慌 恍
hlxk 合理性
hlxm 黄线
hlxv 慌
hlxw 惶
hly 谎
hlyb 荒淫
hlye 荒野
hlyg 换了一个
hlyh 话里有话
hlyj 谎言 晃眼
hlyk 黄莺
hlym 黄粱一梦
hlyr 荒原
hlyv 坏了一锅粥
hlyz 晃悠
hlz 遑
hlzh 洪涝灾害
hlzi 幌子
hlzu 皇族
hlzw 遑
hlzz 回炉再造
hm 后面
hmb 坏毛病
hmbc 好马不吃回头草
hmbk 坏毛病
hmbt 好马不回头
hmbx 昏迷不醒
hmc 花名册
hmce 花名册
hmd 黑名单
hmdj 黑名单
hmf 很麻烦
hmfj 很麻烦
hmg 哈密瓜
hmgl 汗马功劳
hmgx 哈密瓜
hmh 忽明忽暗
hmha 忽明忽暗
hmhm 好嘛好嘛
hmj 荒谬绝伦
hmjl 荒谬绝伦
hml 横眉冷对千夫指
hmlv 横眉冷对千夫指
hmm 灰蒙蒙
hmmg 灰蒙蒙
hmn 横眉怒目
hmnm 横眉怒目
hmny 好梦难圆
hmp 好马配好鞍
hmpa 好马配好鞍
hmq 回马枪
hmql 回马枪
hmr 讳莫如深
hmru 讳莫如深
hms 红霉素
hmsh 侯门似海
hmsu 红霉素
hmsv 火冒三丈
hmu 横眉竖眼
hmud 好谋善断
hmuy 横眉竖眼
hmw 横蛮无理
hmwl 横蛮无理
hmwy 浩渺无垠
hmx 很明显
hmxi 黄梅戏
hmxm 很明显
hmy 鸿门宴
hmyj 鸿门宴
hmyt 黄毛丫头
hmyu 回眸一笑百媚生
hmyx 回眸一笑
hn 湖南
hnb 海纳百川
hnbd 好男不与女斗
hnbi 海纳百川
hnc 海内存知己
hncj 海内存知己
hnd 海南岛
hndc 海南岛
hnf 患难夫妻
hnfq 患难夫妻
hnh 何年何月
hnhn 糊弄糊弄
hnhy 何年何月
hni 汗牛充栋
hnid 汗牛充栋
hnj 回娘家
hnjq 患难见真情
hnjx 回娘家
hnl 很努力
hnli 很努力
hnlj 很难理解
hnln 红男绿女
hnm 猴年马月
hnmy 猴年马月
hnt 混凝土
hntu 混凝土
hnu 海南省
hnuc 后脑勺
hnug 河南省 湖南省
hnux 华南师范大学
hnv 还能这样
hnvj 患难之交
hnvy 还能这样
hnw 海内外
hnwd 海内外
hnx 很难想象
hnxx 很难想象
hny 患难与共
hnyg 患难与共
hnyi 花鸟鱼虫
hnz 哈尼族
hnzu 哈尼族
hnzy 还能怎样
ho 或
hob 豁
hoba 火把
hobc 火爆
hobi 货币
hobj 伙伴
hobk 火并
hoc 获
hocd 劐
hocf 藿
hoch 货舱
hocq 获
hod 活
hod/ 漷
hoda 豁达
hodc 活到
hode 获得
hodj 货单
hodk 活
hodr 火
hods 活动
hodv 火堆
hody 濩
hoe 彟
hoey 彟
hof 攉
hoff 攉
hofh 伙房
hofj 活泛
hofo 活佛
hofu 祸福
hog 惑
hoga 或
hogd 活该
hogf 祸根
hogl 火光
hogo 火锅
hogr 火罐
hogs 火攻
hogv 货柜
hogx 夥
hoh 和
hohd 祸害
hohf 㸌
hohk 和
hoho 活活
hohr 祸患
hohs 火红
hohu 火狐
hohx 火花
hohz 火候
hoi 蠖
hoid 火柴
hoie 火车
hoih 火场
hoir 货船
hoiu 豁出
hoiy 蠖
hoj 镬
hoj/ 锪
hojh 钬
hoji 伙计
hojk 火警
hojl 获奖
hojm 火箭
hojp 活结
hojq 获救
hoju 火炬
hojx 货架
hojy 镬
hok 嚯
hokc 火烤
hokf 嚯
hokg 火坑
hokr 货款
hoky 嚄
hokz 活口
hol 耠
hola 火辣
hole 活了
holi 活力
holk 耠
holo 活络
holr 霍乱
hols 火龙
holu 活路
holy 货轮
hom 𬴃
homd 活埋
homk 活命
homm 豁免
homn 火苗
homu 𬴃
hon 火鸟
honn 火鸟
hop 祸
hopb 货品
hopc 火炮
hopf 火盆
hopi 获批
hopn 祸
hopo 活泼
hoq 获取
hoqi 火气
hoql 火枪
hoqq 火球
hoqu 获取
hor 货
hore 火热
horf 活人
horh 伙
horj 豁然
hork 佸
horr 货
hos 火速
hosd 活塞
hose 货色
hosu 火速
hot 火腿
hotd 祸胎
hoti 货梯
hotj 货摊
hotr 火团
hots 伙同
hotv 火腿
hotz 火头
hou 火势
houc 火烧
houe 火舌
houg 获胜
houi 伙食
houj 火山
houv 祸水
houz 祸首
hov 活着
hove 或者
hovi 获知
hovo 活捉
hovs 火种
hovu 货主
hovy 获准
how 货物
howu 货物
hox 或许
hoxi 获悉
hoxk 火星
hoxl 藿香
hoxm 火线
hoxr 获选
hoxt 活血
hoxu 或许
hoy 霍
hoyc 火药
hoye 活页
hoyf 霍
hoyh 货样
hoyi 获益
hoyj 火焰
hoyr 货源
hoyt 活跃
hoyy 货运
hoyz 或有
hoz 火灾
hozd 活在
hoze 或则
hozg 获赠
hozh 火葬
hozi 活字
hozv 活罪
hp 害怕
hpg 和平鸽
hpgd 狐朋狗党
hpge 和平鸽
hpgi 和平共处
hpgy 狐朋狗友
hpgz 和平共处五项原则
hph 呼朋唤友
hphp 嗨皮嗨皮
hphy 呼朋唤友
hpj 黄浦江
hpjl 黄浦江
hpju 黄袍加身
hpjv 鸿篇巨制
hpjx 黄埔军校
hpl 很漂亮
hplc 胡拼乱凑
hpll 很漂亮
hpm 海平面
hpmm 海平面
hpp 红扑扑
hppu 红扑扑
hpt 和盘托出
hpti 和盘托出
hpu 横平竖直
hpuv 横平竖直
hpv 和平主义
hpvy 和平主义
hpy 好朋友
hpyb 呼朋引伴
hpyz 好朋友
hq 回去
hqb 好巧不巧
hqbq 好巧不巧
hqbr 寒气逼人
hqd 何其多
hqdo 何其多
hqdy 何其毒也
hqg 很奇怪
hqgk 很奇怪
hqgq 皇亲国戚
hqgy 豪气干云
hqh 合情合理
hqhc 何去何从
hqhl 合情合理
hqhm 好奇害死猫
hqhv 或轻或重
hqi 很清楚
hqic 浩气长存
hqiu 很清楚
hqj 划清界限
hqjx 划清界限
hql 回去了
hqle 回去了
hqlw 红墙绿瓦
hqm 含情脉脉
hqmm 含情脉脉
hqmr 魂牵梦绕
hqmu 花钱买罪受
hqmx 魂牵梦系
hqmy 魂牵梦萦
hqq 黑漆漆
hqqi 黑漆漆
hqqu 黑黢黢
hqru 花钱如流水
hqu 换气扇
hqub 横七竖八
hquc 和气生财
hqud 荷枪实弹
hquj 换气扇
hqv 后起之秀
hqvm 害群之马
hqvv 豪情壮志
hqvx 后起之秀
hqw 豪情万丈
hqwv 豪情万丈
hqx 好奇心
hqxb 好奇心
hqxq 祸起萧墙
hqxr 寒气袭人
hqxt 花拳绣腿
hqy 花前月下
hqyh 花旗银行
hqyv 虎躯一震
hqyx 花前月下
hqz 回去再说
hqzb 荒腔走板
hqzh 黄雀在后
hqzu 回去再说
hr 换
hra 鲩
hrae 鲩
hray 鬟
hrb 痪
hrbc 环保
hrbd 痪
hrbe 郇
hrbf 还本
hrbi 宦
hrbj 诲人不倦 浑然不觉
hrbk 患病
hrbm 好人不长命
hrbq 害人不浅
hrbs 活人不能让尿憋死
hrbu 缓步
hrbv 浑然不知
hrby 寰
hrc 萑
hrca 荁
hrcf 萑
hrcy 缓存
hrd 涣 奂
hrda 洹
hrdc 环岛
hrdd 还贷
hrde 浣
hrdg 幻灯
hrdh 换挡
hrdn 换掉
hrdu 欢度
hrdw 恍然大悟
hrdx 漶
hrdy 澴
hre 峘
hrea 峘
hrf 擐
hrfa 焕发
hrfd 换
hrfh 换防
hrfu 换肤
hrfy 擐
hrg 换个
hrge 换个
hrgh 换岗
hrgo 缓过
hrgr 宦官
hrgs 恨入骨髓
hrgt 豁然贯通
hrgu 环顾 恍如隔世
hrgw 还给
hrgy 花入各眼
hrh 焕
hrhd 焕
hrhe 缓和
hrhh 换行
hrhj 害人害己
hrho 换货
hrhr 缓缓
hrhu 欢呼
hrhv 换回
hrhx 幻化
hrhy 还魂
hri 患
hrie 换车
hrig 换成
hrih 欢畅
hris 缓冲
hrix 患
hrj 豢
hrj/ 镮
hrji 还击
hrjk 环境
hrjp 环节 缓解
hrjt 幻觉
hrju 欢聚
hrjx 还价
hrjy 锾
hrk 唤
hrkd 唤
hrkk 欢快
hrkl 豁然开朗
hrkr 还款
hrky 圜
hrkz 还口
hrl 换了
hrld 换来
hrle 欢乐
hrli 还礼
hrlq 环流
hrlu 环路
hrm 桓
hrma 桓
hrmj 缓慢
hrmp 幻灭
hrn 嬛
hrnj 患难
hrny 嬛
hrnz 好人难做
hro 㬊
hroy 㬊
hrp 缓坡
hrpo 缓坡
hrq 獾
hrqf 獾
hrqi 唤起
hrqk 欢庆
hrqm 还钱
hrqq 环球
hrqu 换取
hrr 环绕
hrrc 环绕
hrrf 换人
hrrj 焕然
hrrm 恍然如梦
hrru 恍然若失
hrs 缓
hrse 𬘫
hrsj 涣散
hrsn 鹮
hrsr 换算
hrss 欢送
hrsu 还俗
hrsy 缳
hrt 欢腾
hrtg 欢腾
hrti 浑然天成
hrtk 幻听
hrtn 欢跳
hrtw 骇人听闻
hru 换手
hruh 换上
hrui 环视
hruj 环山
hrus 花容失色
hruu 幻术
hruz 还手
hrv 貆
hrva 貆
hrvd 还债
hrve 患者
hrvh 还账
hrvj 害人终害己
hrvl 环状
hrvq 浩然之气
hrvw 害人之心不可有，防人之心不可无
hrvy 害人之心不可有
hrw 环
hrwb 环
hrwq 𤩽
hrwv 浑然无知
hrww 换位 恍若未闻
hrx 欢心
hrxb 欢心
hrxi 欢喜
hrxk 唤醒
hrxl 幻想
hrxm 环线
hrxn 欢笑
hrxs 浣熊
hrxt 换血
hrxx 换下
hry 欢
hrya 换牙
hryb 好人有好报
hrye 换页
hryh 豢养 浩如烟海
hryj 欢颜
hryk 欢迎
hrym 花容月貌
hryq 虎入羊群
hryr 还原
hryt 浑然一体
hryu 欢愉
hryv 幻
hryx 焕然一新
hryz 患有
hrz 还
hrzb 还
hrzk 逭
hrzo 换作
hrzu 换组
hrzv 还嘴
hs 红
hsb 宏
hsbb 谼
hsbc 红包
hsbh 好死不如赖活
hsbi 红笔
hsbj 红斑
hsbk 訇
hsbm 红遍
hsbs 宏
hsbw 烘焙
hsc 蕻
hscb 薨
hscg 荭
hsd 洪 泓
hsda 宏大
hsdb 洪
hsdg 红灯
hsdi 红底
hsdj 红蛋
hsdm 红点
hsdn 鸿
hsds 轰动
hsdv 红队
hsdz 红豆
hseg 横扫而过
hsf 红粉
hsff 红粉
hsfg 洪峰
hsfu 洪福
hsg 弘
hsgj 烘干
hsgl 红光
hsgn 黑塞哥维那
hsgr 宏观
hsgs 弘
hsgz 鸿沟
hsh 烘
hshb 烘
hshl 洪荒
hsho 红火
hshs 红红
hshu 洪湖
hshx 红花
hsi 虹
hsia 红茶
hsif 红尘
hsig 虹
hsir 哄传
hsiu 轰出
hsiy 轰
hsiz 红筹
hsj 𫟹
hsjb 𫟹
hsji 轰击
hsjn 红椒
hsjq 红酒
hsjs 𬭎
hsjt 横死街头
hsjy 红军
hsk 哄
hskb 哄
hskc 烘烤
hske 哈萨克
hskn 吽
hskt 哈萨克斯坦
hskz 哈萨克族
hsl 竑
hslc 洪涝
hsle 红了
hsli 红利
hsll 洪亮
hslm 红脸
hslq 洪流
hsls 轰隆
hslu 烘炉
hslx 胡思乱想
hsly 宏论
hslz 红楼
hsm 闳
hsmc 鸿毛
hsmg 鸿蒙
hsmk 轰鸣
hsms 闳
hsmu 红木
hsmw 红梅
hsn 红娘
hsnc 哄闹
hsnd 晦涩难懂
hsnl 红娘
hsp 哄骗
hspd 红牌
hspi 红皮
hspj 红盘
hspm 哄骗
hsq 宏碁
hsqi 红旗
hsqj 横扫千军
hsql 哄抢
hsqy 红裙
hsr 红人
hsrf 红人
hsrg 活死人肉白骨
hsri 红日
hsrj 轰然
hsru 鸿儒
hsry 红润
hss 纮
hsse 红色
hssg 红
hsss 纮
hst 宏图
hstc 红桃
hstd 哄抬
hsth 红糖
hsto 烘托
hstu 红土
hsu 翃
hsua 轰杀
hsub 硔
hsuc 红烧
hsuf 红参
hsuu 红薯
hsuv 洪水
hsux 活色生香
hsv 轰炸
hsva 轰炸
hsve 哄着
hsvi 互诉衷肠
hsvl 红妆
hsvs 红肿
hsvt 好色之徒
hsvu 红烛
hsvz 红轴
hsw 宏伟
hswd 红外
hswg 玒
hsww 宏伟
hsx 黉
hsxb 红心
hsxk 红杏
hsxl 烘箱
hsxm 红线
hsxn 哄笑
hsxp 红叶
hsxq 红袖
hsxt 红学
hsxx 红霞
hsy 讧
hsye 红叶
hsyg 讧
hsyh 弘扬
hsyi 红衣
hsyj 红颜
hsyy 鸿运
hsyz 红油
hsz 红枣
hszc 红枣
hszd 洪灾
hszi 红字
hszj 何似在人间
hszr 挥洒自如
ht 后天
htb 横挑鼻子竖挑眼
htbg 恨铁不成钢
htbr 皇天不负有心人
htbt 红透半边天
htby 换汤不换药
htc 回头草
htcc 回头草
htd 哄堂大笑
htdd 撼天动地
htdk 嚎啕大哭
htdv 宏图大志
htdx 哄堂大笑
hte 黑天鹅
htee 黑天鹅
htf 回天乏术
htfu 回天乏术
htg 猴头菇
htgu 猴头菇
htgy 黄土高原
hth 皇太后
hthd 昏天黑地
hthn 虎头虎脑
htht 皇天后土
hthz 皇太后
hti 火腿肠
htih 火腿肠
htj 回头见
htjc 花团锦簇
htjd 花天酒地
htjm 回头见
htjx 回趟家
htk 回头客
htke 回头客
htkj 憨态可掬
htkk 回头看看
htl 回头率
htlb 后台老板
htlu 滑铁卢
htlv 回头率
htq 呼天抢地
htqd 呼天抢地
htr 核桃仁
htrf 核桃仁
htt 红彤彤
httl 灰头土脸
htto 活脱脱
htts 红彤彤
htu 火头上
htua 回头是岸
htuh 火头上
htuw 虎头蛇尾
htv 回天之力
htvk 化痰止咳
htvl 回天之力
htvx 昏头转向
htw 横条纹
htwf 横条纹
htwj 红头文件
htwl 回天无力
htwu 回天无术
htx 欢天喜地
htxd 欢天喜地
htxj 滑天下之大稽
htxl 后天下之乐而乐
hty 回头一笑百媚生
htyu 糊涂一时
htyw 互通有无
htz 皇太子
htzi 皇太子
htzu 回头再说
hu 户 壶
hua 互
huaa 互
huai 互爱
huay 鳠
hub 湖北
hubb 湖滨
hubc 还是不错
hubd 胡说八道
hubf 虎贲
hubl 海水不可斗量
hubm 湖边 好事不出门
hubn 昏睡百年
hubo 互搏
hubu 互补
hubw 湖北
huc 葫
huco 葫
hud 沪 斛
hud/ 冱
hudd 虎视眈眈
hudg 瓠
hudh 滹
hudj 虎胆
hudm 护垫 好事多磨
hudo 湖
hudp 蝴蝶
hudr 护短
huds 互动
hudu 弧度 好说歹说
hudw 浒
hudx 淴
hudy 华盛顿
hue 岵
huek 岵
huer 忽而
huf 护
hufa 护法
hufh 互访
hufu 护肤
hug 弧
hugc 胡搞
hugd 壶盖
hugg 弧
hugn 鹘
huh 虎
huh/ 烀
huhb 扈
huhd 何时何地
huhh 护航
huhj 呼喊
huhk 和
huhl 火烧火燎
huho 煳
huhq 好声好气
huhr 呼唤 互换
huhs 绘声绘色
huhu 戽
huhv 互惠
huhx 胡话
huhy 绘声绘影
hui 蝴
huie 胡扯
huih 轷
huii 互斥
huil 坏事传千里
huio 蝴
huiu 好事成双
huiv 胡吹
huiz 狐臭
huj 后视镜
huji 户籍
hujk 湖景
hujn 呼叫
hujq 呼救
hujx 护驾
hujy 火上浇油
huk 呼
hukh 呼
hukj 唬
hukw 囫 后生可畏
hukx 唿
hukz 户口
hul 黄鼠狼
hula 呼啦
hulc 和事佬
huld 胡来 欢声雷动
hulh 虎狼
huli 狐狸 护理
hulj 护栏 华山论剑
hulm 互联
huln 黄鼠狼给鸡拜年
hulr 胡乱
hult 忽略
hulu 葫芦 呼噜
hulv 换手率
huly 囫囵
hum 糊
humf 虎门
humj 毁尸灭迹
humk 户名
humm 火烧眉毛
humo 糊
humr 核
humu 槲
humw 狐媚 混世魔王
humy 混水摸鱼
hun 鹄
hunc 胡闹
hunh 嫭
hunj 湖南
hunn 鹄
huns 糊弄
huny 鹱
huo 昒
huoh 昈
huow 昒
hup 乎
hupd 互派
hupj 湖畔
hupk 祜
hupl 乎
hupo 湖泊
hupv 横竖撇点折
huq 狐
huqg 狐
huqi 回收期
huqj 皓首穷经
huqo 猢
huqu 何事秋风悲画扇
hur 很少人
hurf 唬人
hurh 互让
hurj 忽然
hurl 鼾声如雷
hurz 红烧肉
hus 护送
huss 护送
husy 猢狲
hut 糊涂
hutc 胡桃
huts 胡同
hutu 糊涂
hutv 护腿
hutz 画蛇添足
huu 胡
huu/ 觳 縠
huuc 呼哨
huud 浑身是胆
huuf 护身
huug 呼声
huui 忽视 护士
huuj 忽闪
huul 海市蜃楼
huum 海誓山盟
huun 鹕
huuo 胡说
huut 浑身湿透
huuu 户数
huuv 湖水
huux 浑身上下
huuy 壶 含沙射影
huv 笏
huvc 护照
huve 护着
huvj 横生枝节
huvl 还手之力
huvs 湖中
huvt 好事之徒
huvu 后事之师
huvw 笏
huvy 颔首致意
huvz 胡诌
huw 忽
huwd 户外
huwf 忽闻
huwj 琥
huwo 瑚
huwq 化身万千
huwu 回首往事
huww 护卫
huwx 忽
hux 怙
huxb 互信
huxi 呼吸
huxk 户型
huxl 互相
huxm 弧线
huxn 呼啸
huxt 虎穴
huxu 胡须
huxx 惚
huxy 欢声笑语
huy 醐
huya 虎牙
huye 鄠
huyh 护养
huyi 狐疑
huyj 护眼
huyk 呼应
huyl 荒山野岭
huyo 醐
huyr 很少有人
huyu 呼吁
huyz 忽悠
huz 活受罪
huzi 胡子
huzv 活受罪
hv 会
hva 惠
hvan 灰暗
hvax 惠
hvb 回报
hvbc 汇报
hvbd 灰白
hvbf 回本
hvbh 毁谤
hvbi 回避
hvbj 悔之不及
hvbk 回禀
hvbl 横征暴敛
hvbm 汇编
hvbn 徽标 会者不难
hvbo 回拨
hvbq 挥之不去
hvbz 黑纸白字
hvc 荟
hvcd 回踩
hvcj 会餐
hvck 茴
hvcs 荟
hvcv 荟萃
hvcx 蕙
hvd 汇
hvd/ 浍
hvda 回答
hvdc 回到
hvdh 回荡
hvdj 回单
hvdk 洄
hvdl 黄钟大吕
hvdm 回电
hvdn 毁掉
hvds 挥动
hvdu 灰度
hvdv 汇兑
hve 堕
hve/ 翙
hvet 堕
hvex 隳
hvf 挥
hvfa 挥发
hvfe 彗
hvfg 汇丰
hvfh 回访
hvfi 挥
hvfj 回返
hvfu 恢复
hvfw 会费
hvfx 慧
hvg 麾
hvgd 悔改 回改
hvgj 和衷共济
hvgm 麾
hvgo 回国
hvgr 会馆
hvgu 回顾
hvgv 回归
hvgy 回滚
hvgz 回购
hvh 秽 烩
hvh/ 烠
hvhc 挥毫
hvhe 回合
hvhf 悔恨
hvhh 回航
hvhj 后知后觉
hvhk 毁坏
hvhl 辉煌
hvho 挥霍
hvhr 回环
hvhs 恢弘
hvhv 会徽
hvhx 回话
hvhy 回魂
hvhz 会后
hvi 徽
hvic 回潮
hvie 回车
hvif 灰尘
hvig 回程
hvih 会场
hvii 挥斥
hvik 蛔
hvir 回传
hvis 蛔虫
hviw 徽
hvix 蟪
hviy 回春
hviz 回抽
hvj 毁
hvjb 灰烬
hvji 汇集
hvjk 回敬
hvjl 呼之即来
hvjm 会见
hvjn 汇缴
hvjq 挥之即去
hvjt 回绝
hvju 汇聚 货真价实
hvjx 回家
hvjy 毁
hvk 回
hvkc 会考
hvke 会客
hvkh 咴
hvkj 回看
hvkk 回
hvko 贿
hvkr 汇款
hvku 喙
hvkv 回馈
hvkx 哕
hvkz 回扣
hvl 回来
hvld 回来
hvle 毁了
hvlh 回廊
hvli 花枝乱颤
hvlo 回落
hvlp 厚着脸皮
hvlq 回流
hvls 回笼
hvlu 贿赂
hvlv 汇率
hvlw 挥泪
hvlx 蕙质兰心
hvm 桧
hvmb 回民
hvmf 回门
hvmm 会面
hvmp 毁灭
hvms 桧
hvmx 橞
hvmz 回眸
hvn 回暖
hvnr 回暖
hvo 晖
hvoi 晖
hvom 晦
hvp 化妆品
hvpb 化妆品
hvpn 汇票
hvpu 惠普
hvpw 袆
hvq 回去
hvqi 晦气 哗众取宠
hvqk 回请
hvql 火中取栗
hvqm 会签
hvqr 挥拳
hvqu 回去
hvr 会
hvrc 回绕
hvrg 恨之入骨
hvrs 毁容
hvru 汇入
hvs 绘
hvsa 挥洒
hvse 灰色 晦涩
hvsg 红装素裹
hvso 会所
hvsr 汇算
hvss 绘
hvsu 回溯
hvsy 毁损
hvt 回头
hvth 回趟
hvtj 会谈
hvtm 回天
hvtn 回调
hvtp 回帖
hvts 会同
hvtu 绘图
hvtv 回退
hvtx 恚
hvtz 回头
hvu 灰
hvuc 卉
hvue 会社
hvuf 会审
hvug 回升
hvuh 会商
hvui 回事
hvuj 回删
hvuo 会说
hvuv 硊
hvuz 回收
hvv 徽章
hvvf 会诊
hvvh 会长
hvvi 绘制 回执
hvvj 会展
hvvr 回转
hvvv 花枝招展
hvvx 会展中心
hvvz 惠州
hvw 珲
hvwf 回稳
hvwh 回望
hvwi 虺
hvwj 会玩
hvwl 化整为零
hvwu 挥舞 会晤
hvww 回味
hvwy 悔之晚矣
hvx 悔
hvx/ 翚
hvxb 灰心 回信
hvxh 恢
hvxi 辉
hvxk 彗星
hvxl 回想
hvxm 灰线
hvxp 诙谐
hvxr 回旋
hvxs 灰熊
hvxt 回血
hvxx 麾下
hvy 讳 呼之欲出
hvy/ 𬤝
hvyb 回音
hvyh 诙 话中有话
hvyi 会议 回忆
hvyj 汇演
hvyk 回应
hvym 诲
hvyr 会员
hvys 会用
hvyt 毁约
hvyw 讳
hvyx 好整以暇
hvyz 会有
hvz 汇总
hvzg 回赠
hvzi 汗珠子
hvzs 汇总
hvzu 回族
hvzv 回嘴
hw 黑
hwa 黑暗
hwan 黑暗
hwb 黑白
hwbd 黑白
hwbf 毫无办法
hwbh 黑帮 花无百日红
hwbj 黑板
hwbl 毫无保留
hwd 黑点
hwdc 黑道
hwdi 黑底
hwdm 黑点
hwds 黑洞
hwe 毫无二致
hwev 毫无二致
hwf 黑发
hwfa 黑发
hwff 黑粉
hwg 和为贵
hwgj 毫无顾忌
hwgo 黑锅
hwgv 黑鬼
hwgx 毫无关系
hwh 嘿嘿
hwhu 黑户
hwhw 嘿嘿
hwhx 黑化
hwi 黑车
hwia 黑茶
hwie 黑车
hwij 毫无察觉
hwj 𬭶
hwjh 𬭶
hwjn 好望角
hwjv 毫无节制
hwk 嘿
hwke 黑客
hwkh 嘿
hwl 好无聊
hwle 黑了
hwlh 黑
hwll 黑亮
hwlm 黑脸
hwln 黑料
hwlt 宏伟蓝图
hwlv 后无来者
hwly 毫无理由
hwm 黑马
hwma 黑马
hwmb 宏伟目标
hwmc 黑猫
hwmu 黑幕
hwmw 黑莓
hwn 哈瓦那
hwna 哈瓦那
hwnu 黑奴
hwp 黑屏
hwpi 黑皮
hwpk 黑屏
hwq 核武器
hwqi 黑旗
hwql 黑枪
hwqm 黑钱
hwqy 黑裙
hwr 黑人
hwrf 黑人
hwru 好为人师
hwry 荒无人烟
hws 黑色
hwse 黑色
hwsk 换位思考
hwsv 毫无所知
hwt 黑桃
hwtc 黑桃
hwth 黑糖
hwti 黑体
hwtj 黑炭
hwtm 黑天
hwtu 黑土
hwtz 黑头
hwu 黑手
hwua 黑纱
hwuc 黑哨
hwui 黑市
hwuj 黑山
hwuz 黑手
hwv 黑着
hwve 黑着
hwvi 黑痣
hwvm 化外之民
hwvv 毫无征兆
hwvz 黑轴
hww 黑雾
hwwo 黑窝
hwwq 回味无穷
hwwu 黑雾
hwwy 化为乌有
hwx 红外线
hwxb 黑心
hwxl 黑箱
hwxm 黑线
hwxq 嘿咻
hwxs 黑熊
hwy 画外音
hwyb 画外音
hwye 黑夜
hwyg 互为因果
hwyi 黑衣 毫无用处
hwyj 黑烟
hwyk 黑影
hwyt 混为一谈
hwyv 毫无预兆
hwyw 毫无疑问
hwyy 毫无意义 毫无怨言
hwz 黑字
hwzi 黑字
hwzy 毫无作用
hx 话 华
hxa 画
hxak 画
hxb 还行吧
hxba 还行吧
hxbc 花苞
hxbd 花白 横行霸道
hxbf 喝西北风
hxbi 画笔
hxbj 花瓣
hxbk 滑冰
hxbm 花边
hxbn 华表
hxbo 划拨
hxbp 话别
hxbu 画布
hxbw 华北
hxc 花
hxcb 花
hxcc 花草
hxcd 花菜
hxce 画册
hxcs 花丛
hxcu 互相残杀
hxd 滑
hxdb 韩信点兵
hxdf 好心当成驴肝肺
hxdg 花灯
hxdj 华诞
hxdk 划定
hxdm 花店
hxdn 花掉
hxdo 花朵
hxdp 化蝶
hxds 华东 滑动
hxdt 觟
hxe 花儿
hxee 花萼
hxel 呼啸而来
hxer 花儿
hxf 话费
hxfa 华发
hxff 划分
hxfg 画风
hxfh 花房
hxfu 砉
hxfw 花费
hxfy 化学反应 祸兮福所倚
hxg 划
hxgc 画稿
hxgd 滑盖
hxgl 花光
hxgo 划过
hxgr 花冠
hxgs 化工
hxgu 花鼓
hxgv 划归
hxgw 欢欣鼓舞
hxh 很喜欢
hxhb 混淆黑白
hxhe 化合
hxhf 划痕
hxho 花活
hxhr 花环
hxhs 花红
hxhv 花卉
hxhx 画画
hxhy 活血化瘀 活学活用
hxi 候选窗
hxia 花茶
hxie 花车
hxig 化成
hxii 花痴
hxil 候选窗
hxiq 红杏出墙
hxir 划船
hxiu 画出
hxj 铧
hxji 滑稽
hxjk 化境
hxjm 花剑
hxjn 花椒
hxjp 化解
hxjq 含笑九泉
hxjr 画卷
hxju 话剧
hxjv 核心价值
hxjx 画家
hxk 哗
hxkd 花开
hxkj 画刊
hxkr 划款
hxku 哗
hxkv 花魁
hxl 候选栏
hxla 哗啦
hxlb 花心萝卜
hxlc 话唠
hxle 花了
hxlh 画廊
hxli 华丽
hxlj 花篮
hxlm 花脸
hxln 化疗
hxlo 滑落
hxlq 滑溜
hxlt 好戏连台
hxlw 花蕾
hxly 滑轮
hxm 桦 骅
hxmb 好心没好报
hxmc 花猫
hxmi 花蜜
hxmk 化名
hxmm 画面
hxmu 花木
hxmw 华美
hxn 婳
hxni 滑腻
hxnj 华南
hxnk 婳
hxnn 花鸟
hxns 化脓
hxny 花香鸟语
hxp 花瓶
hxpc 花炮
hxpf 花盆
hxpi 画皮
hxpk 花瓶
hxpo 滑坡
hxpr 含血喷人
